City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,badger,64.8,-147.5333,25.21,28,20,3.09,US,1686016656
1,celestun,20.8667,-90.4,27.04,78,41,7.37,MX,1686016657
2,mahajanga,-15.7167,46.3167,20.01,77,20,1.54,MG,1686016657
3,bilibino,68.0546,166.4372,13.57,46,100,3.46,RU,1686016466
4,fairmont,39.4851,-80.1426,17.51,66,0,1.06,US,1686016657
5,la'ie,21.6477,-157.9253,29.98,65,50,2.68,US,1686016657
6,albany,42.6001,-73.9662,17.23,74,100,1.91,US,1686016385
7,afaahiti,-17.75,-149.2833,27.93,73,44,4.0,PF,1686016506
8,springs,-26.25,28.4,11.9,33,0,1.64,ZA,1686016658
9,ribeira grande,38.5167,-28.7,19.32,88,99,6.71,PT,1686016457
10,nuuk,64.1835,-51.7216,1.7,99,100,2.21,GL,1686016658
11,edinburgh of the seven seas,-37.0676,-12.3116,11.9,69,100,8.47,SH,1686016658
12,wailua homesteads,22.0669,-159.378,28.24,73,0,5.14,US,1686016658
13,dakhla,23.6848,-15.958,21.18,81,4,2.18,EH,1686016658
14,ad darbasiyah,37.0728,40.652,22.05,29,0,0.91,SY,1686016658
15,gualaceo,-2.9,-78.7833,16.81,96,70,1.78,EC,1686016492
16,fort bragg,35.139,-79.006,23.23,67,0,3.6,US,1686016513
17,puerto natales,-51.7236,-72.4875,0.25,100,40,2.57,CL,1686016659
18,altai,46.3722,96.2583,15.59,37,1,3.04,MN,1686016659
19,wad medani,14.4012,33.5199,27.54,63,98,7.86,SD,1686016659
20,whitecourt,54.1502,-115.6855,13.58,54,20,8.75,CA,1686016511
21,male,4.1748,73.5089,28.97,79,75,4.63,MV,1686016659
22,syktyvkar,61.6764,50.8099,7.85,100,75,4.02,RU,1686016660
23,grytviken,-54.2811,-36.5092,2.28,97,100,1.94,GS,1686016660
24,matoury,4.8483,-52.3317,24.98,88,0,1.03,GF,1686016660
25,adamstown,-25.066,-130.1015,21.04,63,89,9.21,PN,1686016660
26,port-aux-francais,-49.35,70.2167,2.82,63,100,15.08,TF,1686016660
27,sinabang,2.4803,96.3801,27.57,78,84,0.62,ID,1686016660
28,ranchettes,41.2186,-104.7903,15.89,81,20,2.68,US,1686016661
29,qamdo,31.1667,97.2333,11.21,37,6,2.99,CN,1686016661
30,otjimbingwe,-22.35,16.1333,14.93,12,0,2.66,,1686016661
31,olonkinbyen,70.9221,-8.7187,-0.2,83,32,2.23,SJ,1686016661
32,ushuaia,-54.8,-68.3,1.81,93,0,1.03,AR,1686016661
33,hasaki,35.7333,140.8333,26.23,71,97,7.49,JP,1686016661
34,ust-nera,64.5667,143.2,16.79,29,64,1.41,RU,1686016478
35,magadan,59.5667,150.8,14.74,68,100,1.57,RU,1686016662
36,waitangi,-43.9535,-176.5597,10.46,80,89,0.45,NZ,1686016461
37,blackmans bay,-43.0167,147.3167,14.85,75,81,4.41,AU,1686016461
38,papatowai,-46.5619,169.4708,11.46,69,34,3.01,NZ,1686016465
39,westport,41.1415,-73.3579,19.51,73,100,2.06,US,1686016662
40,hamilton,39.1834,-84.5333,20.35,48,0,0.0,US,1686016371
41,saint-pierre,-21.3393,55.4781,21.98,73,0,3.09,RE,1686016662
42,yellowknife,62.456,-114.3525,19.29,63,75,4.12,CA,1686016545
43,east ballina,-28.8667,153.5833,17.67,58,71,3.25,AU,1686016663
44,fale old settlement,-9.3852,-171.2468,28.47,74,100,4.52,TK,1686016494
45,bredasdorp,-34.5322,20.0403,8.02,75,0,1.91,ZA,1686016460
46,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,54,75,5.0,RU,1686016663
47,shingu,33.7333,135.9833,18.62,89,100,1.36,JP,1686016465
48,udachny,66.4167,112.4,3.03,74,99,5.74,RU,1686016663
49,drummondville,45.8834,-72.4824,18.51,86,100,2.51,CA,1686016383
50,buka,40.8108,69.1986,26.99,23,5,1.53,UZ,1686016664
51,anadyr,64.75,177.4833,8.28,75,75,7.0,RU,1686016468
52,happy valley-goose bay,53.3168,-60.3315,9.17,61,75,7.72,CA,1686016664
53,kerikeri,-35.2268,173.9474,13.84,92,99,0.89,NZ,1686016488
54,vorgashor,67.5833,63.95,10.95,62,18,8.25,RU,1686016471
55,stanley,54.868,-1.6985,10.4,90,100,2.06,GB,1686016664
56,bindura,-17.3019,31.3306,12.04,51,0,1.27,ZW,1686016664
57,keflavik,64.0049,-22.5624,7.24,76,100,4.12,IS,1686016665
58,port mathurin,-19.6833,63.4167,24.87,67,5,10.38,MU,1686016665
59,tofol,5.3248,163.0078,31.88,66,75,1.54,FM,1686016665
60,suva,-18.1416,178.4415,24.71,88,75,2.06,FJ,1686016665
61,plastun,44.7561,136.2939,19.12,57,99,2.26,RU,1686016665
62,kotabumi,-4.8333,104.9,27.98,74,73,2.27,ID,1686016665
63,west island,-12.1568,96.8225,25.99,78,40,9.77,CC,1686016665
64,impfondo,1.6381,18.0667,20.45,99,100,0.87,CG,1686016665
65,barabai,-2.5833,115.3833,30.6,63,69,0.36,ID,1686016666
66,korsakov,46.6328,142.7813,16.91,70,1,3.72,RU,1686016666
67,whitehorse,60.7161,-135.0538,14.45,64,100,1.54,CA,1686016666
68,yaren,-0.5472,166.916,28.94,75,84,6.09,NR,1686016666
69,thompson,55.7435,-97.8558,25.09,57,40,2.57,CA,1686016459
70,iqaluit,63.7506,-68.5145,2.85,74,75,1.54,CA,1686016666
71,cabezon de la sal,43.3089,-4.2302,18.24,89,99,1.83,ES,1686016666
72,margaret river,-33.95,115.0667,9.37,88,87,7.02,AU,1686016463
73,dudinka,69.4058,86.1778,8.68,61,100,4.64,RU,1686016667
74,mizan teferi,6.9833,35.5833,16.15,90,93,1.41,ET,1686016667
75,lospalos,-8.5186,127.0025,26.59,58,23,4.64,TL,1686016667
76,tiksi,71.6872,128.8694,2.71,89,97,1.86,RU,1686016667
77,port saint john's,-31.6229,29.5448,14.42,59,100,2.25,ZA,1686016667
78,page,36.9147,-111.4558,31.88,13,0,4.63,US,1686016575
